artist_name,artist_id
明透,53678173
音街ウナ,12096079
森永真由美,17227
TRUE,896286
PIKASONIC,13499634
Mili,339594
YOASOBI,33927412
ヨルシカ,12390232
RADWIMPS,21132
XG,51849113
Matryoshka,12283
25時、ナイトコードで。,48153027
日语听力,865134
SawanoHiroyuki[nZk],1096011
V.A.,21138
ずっと真夜中でいいのに。,15021101
トゲナシトゲアリ,57020536
Ave Mujica,56525844
音乐治疗,15193548
King Gnu,12551173
ワンダーランズ×ショウタイム,48153015
MyGO!!!!!,54743836
She Her Her Hers,159504
Vivid BAD SQUAD,48153661
結束バンド,54103171
いきものがかり,19270
ONE OK ROCK,20878
ボイジャー,19873
サカナクション,21377
あたらよ,37687426
EGOIST,19353
Valentin,22247
GET IN THE RING,19621
MORE MORE JUMP！,48543222
HoneyWorks,19859
上海アリス幻樂団,15345
doa,19124
MYTH & ROID,1137126
Mrs. GREEN APPLE,1087614
Roselia,12385096
アトラスサウンドチーム,51510919
ヒトリエ,784134
NEEDY GIRL OVERDOSE,47734911
未來電波基地,47026840
FLY COAST,816008
KANA-BOON,731025
7co,51716755
fripSide,19395
Guiano,30315249
Leo/need,48153645
ラムジ,21196
Poppin'Party,12274228
ClariS,18961
放課後ティータイム,161782
Goose house,19618
ゴンチチ,20041
fox capture plan,777754
WANDS,22299
GARNiDELiA,19605
ハンバート ハンバート,19678
livetune,20374
supercell,21397
The Nature Sounds Society Japan,22095
Creepy Nuts,12279198
Empty old City,47877241
Kalafina,20032
ヘクとパスカル,990035
Da-iCE,784192
MY FIRST STORY,20689
VISUAL ARTS / Key,95774911
moumoon,20463
S.E.N.S.,21309
m.o.v.e,20466
Official髭男dism,1064050
神聖かまってちゃん,21462
m-flo,20456
神宿,12263524
RAISE A SUILEN,31019220
*Luna,12323325
東京事変,21821
MONKEY MAJIK,20453
Key Sounds Label,20050
Falcom Sound Team J.D.K.,19455
SPYAIR,21503
CREAM,712201
BLU-SWING,18792
Sound Horizon,21306
相対性理論,21319
チョーキューメイ,47283081
ナナツカゼ,56672609
Project DMM,1102293
tayori,58681002
緑黄色社会,13058010
MAISONdes,47431003
back number,18771
羊文学,12676813
RAM WIRE,21162
H-Slang & Choco,56374072
Teriyaki Boyz,21840
Cymbals,18892
SEKAI NO OWARI,21463
ワルキューレ,161017
z'5,12322268
女王蜂,22492
WONDERFUL★OPPORTUNITY!,22374
G-DRAGON,123577
TAEYANG,124831
朴宰范,124542
Tiger JK,126600
비지 (Bizzy),193266
July,123825
Crush,711186
Park Bird,12865175
DJ.Mr.李,37410268
PSY,124492
San E,124730
Wonstein,13710587
辉星,123641
Junggigo,123937
BAEKHYUN,1047070
lIlBOI,124244
俊昊,190319
CHANYEOL,1011017
도경수 (D.O.),1019321
Dept,12403052
MC 몽,124311
Loco,124303
SHAUN,1150188
October,124470
李承铉,238533
Zion.T,125125
泰民,762060
Arkins,28031546
CHEN,967037
터보트로닉 (Turbotronic),124853
DPR IAN,37165850
圭贤,123592
Rain,124593
Zico,160347
Sik-K,1115203
Yiruma,124097
金敏奭 (MeloMance),13226596
ミツキヨ,31814084
pH-1,12202125
Bumkey,774157
景衍Flowsik,34291204
JUNNY,28102242
Jung Kook,1075078
GAEKO,711140
EmoCosine,30616326
Ugly Duck,1079065
Noblesse,124438
Mad Clown,124367
HyuN,31473473
TOIL,30111245
Lil Moshpit,46525485
Gist,32015193
16,53477009
J_ust,1108042
Verbal Jint,124925
Slom,12475024
俞永镇,125025
Damiano,369585
朴明秀,124479
Eddy Kim,904103
龙俊亨,196774
Andrew 崔,768106
Okasian,124472
V也,48852721
K.Will,166027
악월,54664975
dori,51455310
HAON,13708147
Plum - Melodic Artist,49726260
BL8M,57385240
Paul Kim,1137437
DEAN,1124004
WOOCHAN,99356484
KCM,124026
BRYAN CHA$E,1182078
Kevin Woo,12143011
entoy,37678523
边博弦,121622996
胜利,124745
신기원 (ShinGiWon),34860955
